date,time,price
2026-03-25,13:04:52,71748.06
2026-03-25,13:09:51,71662.44
2026-03-25,13:14:56,71686.93
2026-03-25,13:19:56,71626.06
2026-03-25,13:24:51,71619.26
2026-03-25,13:29:56,71601.12
2026-03-25,13:34:51,71751.98
2026-03-25,13:39:51,71841.65
2026-03-25,13:44:56,71759.86
2026-03-25,13:49:52,71728.25
2026-03-25,13:54:52,71621.98
2026-03-25,13:59:50,71631.72
2026-03-25,14:04:51,71530.77
2026-03-25,14:09:54,71492.46
2026-03-25,14:14:51,71357.24
2026-03-25,14:19:52,71415.46
2026-03-25,14:24:51,71394.89
2026-03-25,14:29:52,71326.19
2026-03-25,14:34:57,71444.01
2026-03-25,14:39:55,71346.38
2026-03-25,14:44:52,71366.81
2026-03-25,14:49:41,71359.68
2026-03-25,14:54:54,71397.49
2026-03-25,14:59:50,71291.01
2026-03-25,15:04:54,71243.17
2026-03-25,15:09:57,70986.78
2026-03-25,15:14:55,70861.33
2026-03-25,15:19:52,70603.50
2026-03-25,15:24:53,70894.35
2026-03-25,15:29:51,70938.09
2026-03-25,15:34:51,70966.06
2026-03-25,15:39:50,70852.90
2026-03-25,15:44:51,70823.50
2026-03-25,15:49:54,70809.88
2026-03-25,15:54:53,70855.67
2026-03-25,15:59:57,70843.14
2026-03-25,16:04:52,70842.90
2026-03-25,16:09:57,70911.39
2026-03-25,16:14:56,70871.86
2026-03-25,16:19:56,70865.42
2026-03-25,16:24:51,70975.82
2026-03-25,16:29:51,71570.45
2026-03-25,16:34:53,71456.52
2026-03-25,16:39:52,71471.68
2026-03-25,16:44:56,71467.07
2026-03-25,16:49:53,71318.23
2026-03-25,16:54:52,71355.83
2026-03-25,17:00:00,71310.28
2026-03-25,17:04:51,71292.01
2026-03-25,17:09:50,71200.58
2026-03-25,17:14:55,71139.17
2026-03-25,17:19:52,70967.47
2026-03-25,17:24:54,71066.62
2026-03-25,17:29:53,71147.24
2026-03-25,17:34:53,70981.08
2026-03-25,17:39:52,70867.59
2026-03-25,17:44:45,70919.04
2026-03-25,17:49:54,70895.00
2026-03-25,17:54:50,70818.98
2026-03-25,17:59:53,70743.13
2026-03-25,18:04:56,70764.10
2026-03-25,18:09:50,70850.34
2026-03-25,18:14:51,70872.75
2026-03-25,18:19:53,70997.59
2026-03-25,18:24:55,71041.26
2026-03-25,18:29:51,70987.20
2026-03-25,18:34:52,70908.85
2026-03-25,18:39:51,70844.39
2026-03-25,18:44:56,70792.94
2026-03-25,18:49:55,70889.45
2026-03-25,18:54:58,70912.25
2026-03-25,18:59:51,70762.89
2026-03-25,19:04:55,70869.36
2026-03-25,19:09:52,70871.53
2026-03-25,19:14:54,70822.47
2026-03-25,19:19:51,70834.34
2026-03-25,19:24:54,70902.45
2026-03-25,19:29:52,70888.12
2026-03-25,19:34:55,70870.56
2026-03-25,19:39:53,70933.09
2026-03-25,19:44:52,70981.06
2026-03-25,19:49:58,70901.87
2026-03-25,19:54:51,70888.58
2026-03-25,19:59:51,70803.52
2026-03-25,20:04:52,70742.01
2026-03-25,20:09:57,70694.43
2026-03-25,20:14:40,70710.88
2026-03-25,20:19:52,70768.66
2026-03-25,20:24:45,70748.66
2026-03-25,20:29:58,70686.07
2026-03-25,20:34:57,70715.16
2026-03-25,20:39:51,70774.33
2026-03-25,20:44:55,70870.75
2026-03-25,20:49:54,70931.14
2026-03-25,20:54:54,71016.37
2026-03-25,20:59:52,70982.15
2026-03-25,21:04:53,70991.41
2026-03-25,21:09:57,70996.01
2026-03-25,21:14:58,71105.33
2026-03-25,21:19:50,71053.79
2026-03-25,21:24:57,70992.85
2026-03-25,21:29:53,70951.52
2026-03-25,21:34:56,70982.18
2026-03-25,21:39:56,71005.25
